strain	designation	accession	clade	passage_long	passage	center_long	center	date	month_abbr	type	reference	h_serology	f_serology
A/Darwin/7/2022e_apr	A/Darwin/7/2022	S10057009.4		E3						Egg			
A/Sydney/175/2022e_apr	A/Sydney/175/2022	S10057011.4		E3						Egg			
A/Brisbane/12/2022_apr	A/Brisbane/12/2022	S10047521.4		MDCK1				04/04/22					
A/Canberra/182/2022_may	A/Canberra/182/2022	N10056758.4		MDCK1				19/05/22					
A/Canberra/185/2022_may	A/Canberra/185/2022	N10056757.4		MDCK1				20/05/22					
A/Canberra/178/2022_may	A/Canberra/178/2022	N10056759.4		MDCK1				18/05/22					
A/South_Australia/70/2022_may	A/South Australia/70/2022	N10056761.4		SIAT2				17/05/22					
A/Newcastle/85/2022_may	A/Newcastle/85/2022	N10056780.4		MDCK1				06/05/22					
A/South_Australia/49/2022_may	A/South Australia/49/2022	N10056782.4		SIAT1				05/05/22					
A/Victoria/747/2022_apr	A/Victoria/747/2022	N10056789.4		SIAT1				27/04/22					
A/Newcastle/17/2022_apr	A/Newcastle/17/2022	N10056793.4		MDCK1				20/04/22					
A/Newcastle/28/2022_apr	A/Newcastle/28/2022	N10056794.4		MDCK1				19/04/22					
A/Newcastle/29/2022_apr	A/Newcastle/29/2022	N10056795.4		MDCK1				13/04/22					
A/Sydney/72/2022_apr	A/Sydney/72/2022	N10056797.4		SIAT2				07/04/22					
othA/Catalonia/NSVH101815476/2022o_may	A/Catalonia/NSVH101815476/2022	EPI_ISL_12705832		Original	o	Hospital Universitari Vall d'Hebron	oth	2022-05-04					
cdcA/West_Virginia/21/2022_may	A/West Virginia/21/2022	EPI_ISL_13286916		S1		Centers for Disease Control and Prevention	cdc	2022-05-03					
othA/Cardiff/1787/2022o_may	A/Cardiff/1787/2022	EPI_ISL_13338082		original	o	Public Health Wales Microbiology Cardiff	oth	2022-05-09					
emcA/Netherlands/01141/2022o_jun	A/Netherlands/01141/2022	EPI_ISL_13499657		Original	o	Erasmus Medical Center	emc	2022-06-12					
cdcA/Utah/27/2022o_may	A/Utah/27/2022	EPI_ISL_13584929		Original	o	Centers for Disease Control and Prevention	cdc	2022-05-16					
othA/Niedersachsen/12/2022o_may	A/Niedersachsen/12/2022	EPI_ISL_13638360		Original	o	Robert Koch Institute Nationales Referenzzentrum für Influenza	oth	2022-05-04					
cricA/Portugal/211592/2022o_may	A/Portugal/211592/2022	EPI_ISL_13704314		cs	o	Crick Worldwide Influenza Centre	cric	2022-05-22					
cricA/Portugal/211528/2022o_may	A/Portugal/211528/2022	EPI_ISL_13704321		cs	o	Crick Worldwide Influenza Centre	cric	2022-05-05					
othA/Netherlands/11529/2022o_may	A/Netherlands/11529/2022	EPI_ISL_12853610		Original	o	Haga Ziekenhuis	oth	2022-05-10					
othA/South_Africa/R04204/2022o_apr	A/South Africa/R04204/2022	EPI_ISL_13399720		Original	o	National Institute for Communicable Diseases	oth	2022-04-01					
